[2025-07-08 17:05:30] | OrdenID: 318 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-11 16:42:42] | OrdenID: 333 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-14 12:34:00] | OrdenID: 335 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-14 12:36:03] | OrdenID: 334 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-14 18:00:09] | OrdenID: 336 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-14 18:06:41] | OrdenID: 337 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-15 11:21:30] | OrdenID: 340 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-15 11:23:57] | OrdenID: 339 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-15 11:23:57] | OrdenID: 339 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-15 15:58:58] | OrdenID: 338 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-16 12:31:12] | OrdenID: 341 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-16 12:34:13] | OrdenID: 344 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-16 12:35:09] | OrdenID: 342 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-16 12:38:45] | OrdenID: 343 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-16 12:38:45] | OrdenID: 343 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-16 12:42:34] | OrdenID: 345 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-16 12:42:34] | OrdenID: 345 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-16 18:06:17] | OrdenID: 346 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-17 12:49:18] | OrdenID: 348 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-17 18:21:08] | OrdenID: 347 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-18 12:59:59] | OrdenID: 349 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-18 14:52:40] | OrdenID: 350 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-18 14:52:40] | OrdenID: 350 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-18 15:38:22] | OrdenID: 354 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-18 16:33:38] | OrdenID: 351 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-18 16:34:11] | OrdenID: 352 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-18 16:34:40] | OrdenID: 353 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-21 15:02:23] | OrdenID: 355 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-21 18:19:44] | OrdenID: 356 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-21 18:20:00] | OrdenID: 357 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-22 15:54:19] | OrdenID: 358 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-22 15:55:04] | OrdenID: 359 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-22 15:55:21] | OrdenID: 360 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-23 13:50:41] | OrdenID: 364 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-23 13:51:53] | OrdenID: 365 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-23 17:21:04] | OrdenID: 366 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-23 17:21:22] | OrdenID: 363 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-23 17:21:37] | OrdenID: 362 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-23 17:22:09] | OrdenID: 361 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-24 17:50:59] | OrdenID: 368 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 14:40:32] | OrdenID: 378 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-25 14:41:37] | OrdenID: 377 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-25 14:44:06] | OrdenID: 375 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-25 14:44:06] | OrdenID: 375 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-25 14:45:59] | OrdenID: 369 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 14:46:50] | OrdenID: 376 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-25 16:42:01] | OrdenID: 370 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 16:42:29] | OrdenID: 371 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 16:42:52] | OrdenID: 379 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 16:43:21] | OrdenID: 374 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 16:43:49] | OrdenID: 372 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 16:45:35] | OrdenID: 373 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-25 16:51:44] | OrdenID: 367 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-28 14:18:30] | OrdenID: 385 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-28 14:18:30] | OrdenID: 385 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-28 14:18:30] | OrdenID: 385 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-28 14:19:10] | OrdenID: 384 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-28 19:37:48] | OrdenID: 387 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-28 19:38:07] | OrdenID: 382 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-28 19:38:21] | OrdenID: 388 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-28 19:38:35] | OrdenID: 381 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-29 15:06:22] | OrdenID: 391 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-29 15:06:22] | OrdenID: 391 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-29 17:12:46] | OrdenID: 392 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-29 17:13:24] | OrdenID: 383 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-29 17:13:40] | OrdenID: 386 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-29 17:13:55] | OrdenID: 389 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-29 17:14:27] | OrdenID: 390 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-30 14:13:09] | OrdenID: 395 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-30 14:22:21] | OrdenID: 394 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-30 14:23:02] | OrdenID: 393 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-30 16:22:45] | OrdenID: 396 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-31 12:03:47] | OrdenID: 397 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-31 12:05:12] | OrdenID: 400 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-31 12:05:45] | OrdenID: 402 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-31 13:15:57] | OrdenID: 399 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-31 16:35:54] | OrdenID: 404 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-31 16:36:14] | OrdenID: 403 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-31 16:36:33] | OrdenID: 401 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-31 16:36:50] | OrdenID: 398 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-01 15:35:03] | OrdenID: 406 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-01 15:36:05] | OrdenID: 405 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-04 17:36:00] | OrdenID: 409 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-04 17:36:30] | OrdenID: 408 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-04 17:36:55] | OrdenID: 407 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-05 16:31:11] | OrdenID: 410 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-05 16:31:32] | OrdenID: 411 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 09:16:59] | OrdenID: 415 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 09:17:37] | OrdenID: 412 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 09:18:02] | OrdenID: 414 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 09:18:26] | OrdenID: 413 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 16:50:38] | OrdenID: 416 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 17:18:04] | OrdenID: 423 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 17:24:31] | OrdenID: 422 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 17:24:55] | OrdenID: 421 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 17:25:09] | OrdenID: 420 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 17:25:23] | OrdenID: 419 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 17:25:40] | OrdenID: 418 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-06 18:04:12] | OrdenID: 417 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 09:25:03] | OrdenID: 424 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-07 09:25:03] | OrdenID: 424 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-07 14:59:24] | OrdenID: 427 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 14:59:54] | OrdenID: 426 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 15:35:42] | OrdenID: 432 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-07 15:38:20] | OrdenID: 425 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 17:42:32] | OrdenID: 431 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 17:43:15] | OrdenID: 430 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 17:43:30] | OrdenID: 429 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-07 17:43:44] | OrdenID: 428 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-08 15:33:07] | OrdenID: 433 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-08 15:33:33] | OrdenID: 434 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-08 17:14:59] | OrdenID: 435 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-08 17:15:21] | OrdenID: 436 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-08 17:15:41] | OrdenID: 437 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-11 12:50:53] | OrdenID: 440 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-11 18:18:34] | OrdenID: 439 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-11 18:30:42] | OrdenID: 441 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-12 15:30:22] | OrdenID: 444 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-12 15:30:22] | OrdenID: 444 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-12 15:30:22] | OrdenID: 444 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-12 18:22:52] | OrdenID: 446 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-12 18:23:05] | OrdenID: 445 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-12 18:23:18] | OrdenID: 443 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-12 18:23:30] | OrdenID: 442 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-13 15:41:25] | OrdenID: 452 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-13 15:43:45] | OrdenID: 451 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-13 15:43:45] | OrdenID: 451 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-13 15:44:37] | OrdenID: 449 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-13 15:44:37] | OrdenID: 449 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-13 15:57:14] | OrdenID: 447 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-13 17:32:35] | OrdenID: 450 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-13 17:32:50] | OrdenID: 448 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-14 10:06:09] | OrdenID: 438 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-14 10:08:23] | OrdenID: 455 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-14 10:09:11] | OrdenID: 454 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-14 10:09:39] | OrdenID: 453 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-14 15:25:22] | OrdenID: 460 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-14 15:25:46] | OrdenID: 457 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-14 17:17:56] | OrdenID: 462 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-14 17:22:38] | OrdenID: 456 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-14 18:00:20] | OrdenID: 459 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-14 18:00:35] | OrdenID: 458 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-15 14:16:22] | OrdenID: 461 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-15 14:18:03] | OrdenID: 463 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-15 14:55:55] | OrdenID: 467 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-15 14:56:21] | OrdenID: 465 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-15 14:56:43] | OrdenID: 464 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-15 17:59:14] | OrdenID: 468 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-15 17:59:26] | OrdenID: 466 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-16 10:59:11] | OrdenID: 470 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-16 12:54:07] | OrdenID: 469 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-18 15:49:27] | OrdenID: 471 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-18 15:50:10] | OrdenID: 472 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-18 15:50:36] | OrdenID: 475 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-18 15:50:36] | OrdenID: 475 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-18 17:52:19] | OrdenID: 473 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-18 17:52:47] | OrdenID: 474 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-19 16:21:29] | OrdenID: 477 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-19 16:22:30] | OrdenID: 478 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-19 17:28:58] | OrdenID: 476 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-19 17:29:21] | OrdenID: 479 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-20 17:13:58] | OrdenID: 480 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-20 17:15:05] | OrdenID: 481 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-21 17:45:50] | OrdenID: 482 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-22 15:03:46] | OrdenID: 484 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-22 15:03:46] | OrdenID: 484 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-22 17:23:27] | OrdenID: 483 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-22 17:25:53] | OrdenID: 485 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-25 19:05:08] | OrdenID: 487 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-25 19:05:39] | OrdenID: 489 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-25 19:06:11] | OrdenID: 488 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-26 12:40:31] | OrdenID: 494 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-26 12:40:31] | OrdenID: 494 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-26 12:40:49] | OrdenID: 493 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-26 14:58:08] | OrdenID: 495 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-08-26 15:28:53] | OrdenID: 491 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-26 15:29:44] | OrdenID: 490 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-26 18:24:23] | OrdenID: 492 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:48:12] | OrdenID: 496 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:48:32] | OrdenID: 497 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:48:49] | OrdenID: 498 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:49:02] | OrdenID: 499 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:49:35] | OrdenID: 500 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:50:15] | OrdenID: 501 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-27 18:50:49] | OrdenID: 502 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-08-28 15:26:35] | OrdenID: 507 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
